,Route,Head.Length,SV.length,Total.Length,Tail.Girth,Neck.Girth,Chest.Girth,Weight,Sex,Deformities_Notes
1,Lox_Marsh,24.5,89.5,184.5,33.5,31,38,15.5,F,None
2,ENP-FC,21.5,80,160,31,29,31.5,10.5,F,Right tip of snout has notch in it
3,ENP-SS,23,83,165.5,33.5,31,38,12.5,M,None
4,Lox_Marsh,19.5,71.5,143,29.5,26.5,35,7.5,M,Right rear Foot
5,Lox_Marsh,24,87,169,34,32.5,40,13,M,None
6,Lox_Marsh,16,59,114,23,21.5,28,4,M,None
7,Lox_Marsh,24,88,179,37.5,34.5,45.5,17,F,None
8,WCA2A_Marsh,24.5,89,178,38,34,44,17.5,F,Laceration on belly 4 cm long
9,WCA2A_Marsh,25.5,96,184.5,42,42.5,52,NA,F,None
10,WCA3A-N41_Marsh,22.5,87,171.5,33.5,32,42,14,M,None
11,WCA3A-N41_Marsh,23,84,179,31,29,35.5,11.75,M,None
12,WCA3A-N41_Marsh,25.5,97,188,32.5,37,41.5,18,M,None
13,ENP-FC,23,88,171,34.5,32.5,40,13.75,F,None
14,ENP-FC,19.6,73.7,147.1,27.2,26,33.5,10.5,F,None
15,ENP-FC,24,89,173,32.5,31.5,36,13,F,None
16,ENP-FC,22.5,88,169,33.5,30.5,39,13,F,None
17,ENP-SS,24,83.5,167,35.5,34,39,15.5,F,Incomplete tail
18,ENP-SS,23.5,87,172,34,33,42,15,F,None
19,ENP-SS,22,82.5,169,33,30.5,41,12.5,F,Left front foot missing tip of 2nd toe
20,ENP-SS,19,73,151,27.5,26,32.5,8.75,F,None
21,ENP-SS,21.5,81,165,32,30.5,37,12.5,F,None
22,ENP-SS,23.5,88.5,173.5,35,31.5,38,15.5,F,None
23,WCA2A_Marsh,25.5,91.5,185,37,35.5,43,17,F,None
24,WCA2A_Marsh,19.5,73,147,28,26,34,7.5,F,None
25,WCA2A_Marsh,22,78.5,153,27,28,34,8.5,F,None
26,WCA3A-N41_Marsh,18.5,64,130,23.5,23,31,5.75,M,None
27,WCA3A-N41_Marsh,21,76,152,29.5,29,35,10,M,None
28,WCA3A-N41_Marsh,23.5,84.5,171.5,32.5,31,38.5,12.25,M,None
