"variable","mean","sd","5%","50%","95%","rhat","ess_bulk","ess_tail"
"ystar1",6.16384367118275,0.134492649628706,6.00720905159975,6.14233854121877,6.377593980572,1.00137173883401,6807.32346682867,9535.85760836474
"ystar2",6.16259873281339,0.088336562134067,6.0631615205335,6.14190852981928,6.33105964829168,1.00119594558403,5750.57599175499,6855.91029797731
"xi1",-0.113736964466685,0.0273025894780289,-0.161808504995437,-0.111621428541126,-0.0733012662708073,1.00122286675361,7030.72239074931,10527.3160766706
"xi2",-0.239119326251676,0.0628714666497172,-0.346063057243475,-0.236261424258972,-0.139872272305895,1.00105942729445,6070.14202919402,8145.63194475171
"mu_y",6.14237199033479,0.100518624796795,5.99371283122013,6.13475843281205,6.31571857996495,1.00207167011135,6304.26899918998,7590.07787625966
"tau_y",0.102574061146625,0.160979344195241,0.00657196310513114,0.0620143286688224,0.31596149779164,1.00901520290559,475.862921662538,124.59048039528
"mu_xi",-0.194996501691231,0.0766169671083312,-0.329178384396917,-0.190595990134887,-0.0723653661016073,1.00431650599425,1175.9175346785,490.569623942743
"tau_xi",0.713774349103028,46.5695868502566,0.0319299790545551,0.11113045064107,0.539251661995246,1.00289567046524,6283.3833576388,7256.05217326469
"TLstar1_cm",481.772437266002,211.583961115082,406.347640908565,465.140049157638,588.510036312731,1.00137173883401,6807.32346682867,9535.85760836474
"TLstar2_cm",476.627584716431,46.4758875945667,429.731897710357,464.940076630763,561.751537661818,1.00121629447986,5750.57599175499,6855.91029797731
"TLstar_pop_cm",467.528564416682,47.7626123239284,400.900325383152,461.627566508441,553.199435832773,1.00207167011135,6304.26899918998,7590.07787625966
