"variable","mean","sd","5%","50%","95%","rhat","ess_bulk","ess_tail"
"ystar1",5.73119535571914,0.091929105906614,5.61919523193145,5.71823215928158,5.88273920859896,1.00228212972747,2389.45174521967,2946.90738794059
"ystar2",5.74423275300859,0.0458478208578315,5.70093176117695,5.73106432731154,5.83149824233012,1.00123149224899,1774.10169811444,1223.40856165218
"xi1",-0.152766991018843,0.0467979869170879,-0.243566281919147,-0.145484988328192,-0.0874441436418394,1.00260416892926,2429.5231113086,3129.1519511998
"xi2",-0.359696665779663,0.0720750137574427,-0.476303261971282,-0.36135523831663,-0.236314529706558,1.00139172700155,1989.61307498562,1476.50879578719
"mu_y",5.7386012632022,0.0804301625184876,5.62405813132507,5.72879951134613,5.88569596158492,1.00111780426836,2859.80150429721,2725.75739263304
"tau_y",0.0878533625414328,0.100660551253216,0.0090896191297271,0.0594631131944363,0.259950227702337,1.00243731248289,863.238182590096,389.466139475886
"mu_xi",-0.240652416725374,0.0797243653742042,-0.37033157522434,-0.241687806204257,-0.111328923200535,1.00359216126071,3596.51439343384,4779.27994997663
"tau_xi",0.387777997705658,3.12738686966978,0.049539396373133,0.150582498033247,0.79853124413708,1.00316150161457,2072.80205720464,2239.5675000638
"TLstar1_cm",309.810753739367,36.3027357333968,275.667445585465,304.366375791988,358.790702150511,1.00228212972747,2389.45174521967,2946.90738794059
"TLstar2_cm",312.727887862395,15.4732759293051,299.146003784664,308.297223006214,340.869001084097,1.00123149224899,1774.10169811444,1223.40856165218
"TLstar_pop_cm",311.656042709182,25.9397338033459,277.011253391798,307.599776684423,359.853124863886,1.00111780426836,2859.80150429721,2725.75739263304
