"u_prob","u","n_u","sigma_hat","xi_hat","xi_lo","xi_hi","endpoint_hat","endpoint_lo","endpoint_hi","endpoint_kg_hat","endpoint_kg_lo","endpoint_kg_hi"
0.6,8.57671990037151,57,1.53564043267301,-0.591186033901606,-1.01416604991025,-0.449371960170702,11.174278612201,10.7462071024083,11.3716992619687,71273.4104726157,46453.5005187187,86829.2879026221
0.62,8.6538081161067,54,1.49690744382892,-0.594560970936268,-1.01450331426377,-0.440919694616892,11.1714766429723,10.7839647409642,11.3807066190445,71073.9840934171,48241.0086878696,87614.9232407031
0.64,8.69153105030594,51,1.55201696366789,-0.633496900280284,-1.03643716093045,-0.516094879939547,11.1414514255773,10.7907324422009,11.2514498079203,68971.6911066398,48568.5966805154,76991.4617189284
0.66,8.80976089677629,49,1.38442854882402,-0.583977276056562,-1.02598503692385,-0.443703856291185,11.18044997251,10.8016070123854,11.3489311398514,71714.6244138725,49099.6415027048,84874.6838403999
0.68,8.83448948064423,46,1.47781689306834,-0.642102867805622,-1.05705136730919,-0.488195638405891,11.1360161785684,10.7564264967914,11.2823053297814,68597.8298633428,46930.6611546341,79404.1037002093
0.7,8.87357185118114,40,1.74037242286097,-0.790361519541517,-1.17242192351989,-0.615381406554322,11.0755672416836,10.7951575344938,11.1292247645661,64574.0070843268,48783.9934271231,68133.5320051464
0.72,8.94088932985116,40,1.58249129064852,-0.735822415717262,-1.12322864414946,-0.61167149463312,11.0915322796259,10.7380410672402,11.1325508935167,65613.2069171676,46075.7042480349,68360.5302218501
0.74,9.05574791909361,37,1.50376806317225,-0.739042724074788,-1.12113206482528,-0.549985135957923,11.0904991103117,10.812312775576,11.1575262186627,65545.4523721639,49628.1144429561,70089.3558175675
0.76,9.16763477666408,34,1.4401209117236,-0.750363265927814,-1.17815144214215,-0.564380863150579,11.0868664036853,10.7848702371786,11.1249150487308,65307.77693694,48284.7105215541,67840.5276795493
0.78,9.28103849653758,31,1.3820428916896,-0.76747363156455,-1.17587863952181,-0.555768201067921,11.0818077149825,10.8060310912719,11.1494060014874,64978.2394400992,49317.343400116,69522.5195580831
0.8,9.37176146406876,28,1.40112179860997,-0.825906071466739,-1.2255546382329,-0.608789812089263,11.0682277415496,10.8242162237294,11.106236649553,64101.8011481799,50222.3900777883,66585.136074359
0.82,9.57312349665724,26,1.0211869047382,-0.659057517713623,-1.15337714236947,-0.413456815075676,11.122589024766,10.7725009240172,11.328496146991,67682.912365947,47691.1404114887,83157.8715486225
0.84,9.69145450836062,23,0.947101853077822,-0.662589599665194,-1.19069102369106,-0.417158035274283,11.1208488929939,10.7932093637807,11.2435628176172,67565.2375942055,48689.0463964026,76386.6191360588
0.86,9.7848024992615,20,0.994991926227112,-0.766709758014677,-1.30693124736336,-0.580578232910219,11.0825451141508,10.770948133975,11.1078913583332,65026.1720103651,47617.1435492164,66695.4062910378
0.88,10.0046725668151,17,0.570285523544185,-0.437051838407264,-1.17794025554121,-0.18026868721172,11.3095189795941,10.7399009945772,12.037614324635,81594.6503685457,46161.4814548977,168993.296026312
0.9,10.0870225844515,14,0.674955622099802,-0.648003418850416,-1.32190907208842,-0.305857829082324,11.1286152712574,10.7963825797114,11.3634525868592,68092.017725912,48843.792645864,86116.1794037574
