taxon;mean mass (kg);ln mean mass (kg);low estimate (kg);ln low estimate (kg);high estimate (kg);ln high estimate (kg);error bar low (kg);error bar high (kg);source;;
Deinotherium proavum;16850;9,73211;13500;9,51044;18600;9,83092;3350;1750;Larramendi (2016:table 8);;
Baluchitherium/Paraceratherium/Indricotherium;17231;9,75447;12923;9,46677;21539;9,97760;4308;4308;based on data given in Granger & Gregory (1936);;
Mammuthus trogontherii;17450;9,76709;14100;9,55393;19500;9,87817;3350;2050;Larramendi (2016:table 8);;
Mammut borsoni;24450;10,10439;20500;9,92818;28400;10,25414;3950;3950;Larramendi (2016:table 8);;
Palaeoloxodon antiquus;20750;9,94030;16700;9,72316;23000;10,04325;4050;2250;Larramendi (2016:table 8);;
"note: for specimens cited from Larramendi (2016), using the boundary between categories 3 and 4 of Table 8 as maximum size; error is lower boundary of category 3 and upper boundary of category 4";;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
notes on Baluchitherium/Paraceritherium mass estimate, from Granger and Gregory 1936:;;;;;;;;;;;
femoral circumference of specimen AMNH 26169 (mm);;389;;;;;;;;;
femoral length of specimen AMNH 26169 (mm);;1190;;;;;;;;;
estimated largest femur length for the taxon (mm);;1660;;;;;;;;;
scaled estimated largest femoral circumference (mm);;543;;;;;;;;;
humeral circumference of specimen AMNH 26166 (mm);;486;;;;;;;;;
humeral length of specimen AMNH 26166 (mm);;985;;;;;;;;;
estimated largest humerus length (mm);;1200;;;;;;;;;
scaled estimated largest humeral circumfernce (mm);;592;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
calculation of Baluchitherium/Paraceratherium/Indricotherium and Shantungosaurus mass estimates;;;;;;;;;;;
genus and species;humerus circ (mm);femur circ (mm);hum+fem circ (mm);Packard est mass (kg);Campione est mass linear (kg);Campione est mass quadratic (kg);ln Campione est mass quadratic (kg);quadratic mass est low (kg);quadratic mass est high (kg);source;
Baluchitherium/Paraceratherium/Indricotherium;592;543;1135;10403;20723;17231;9,75;12923;21539;Granger and Gregory (1936);
Shantungosaurus;404;680;1084;9435;18259;15287;9,63;11465;19109;Benson et al. (2018);
