"","X","SAUROPODA","...2","...3","...4","...5","...6","...7","MAMMALIA..data.from.Smith.et.al...2010.","...9","...10","...11","...12"
"1",1,"taxon","age","ln body mass (kg)","time since origin","ln body mass (kg)",NA,NA,"taxon","age","body mass (kg)","time since origin","ln body mass (kg)"
"2",2,"Schleitheimia","-217","8.1236365022229791","1","8.1236365022229791",NA,NA,"Condylarthra, Taeniodonta","-105.5","5","1","1.6094379124341003"
"3",3,"Kunmingosaurus wudingensis","-213","8.5646485304409143","5","8.5646485304409143",NA,NA,"Multituberculata","-70.599999999999994","3.3","35.900000000000006","1.1939224684724346"
"4",4,"Lessemsaurus sauropoides","-210","7.7245593333694309","8","7.7245593333694309",NA,NA,"Condylarthra","-63.6","54","42.9","3.9889840465642745"
"5",5,"Barapasaurus tagorei","-198","9.07745749494417","20","9.07745749494417",NA,NA,"Condylarthra","-60.2","54","46.3","3.9889840465642745"
"6",6,"Antetonitrus ingenipes","-197","9.3421364476509225","21","9.3421364476509225",NA,NA,"Pantodonta","-57.25","700","49.25","6.5510803350434044"
"7",7,"Kotasaurus yamanpalliensis","-196","7.9677887425845402","22","7.9677887425845402",NA,NA,"Pantodonta","-52.2","700","54.3","6.5510803350434044"
"8",8,"Vulcanodon karibaensis","-191","8.6612812143645908","27","8.6612812143645908",NA,NA,"Dinocerata","-42.9","4500","63.6","8.4118326757584114"
"9",9,"Tazoudasaurus naimi ","-183","9.1841105382839814","35","9.1841105382839814",NA,NA,"Perissodactyla","-35.549999999999997","5907","70.95","8.6838933673072347"
"10",10,"Ledumahadi mafube","-182","8.5353060903959861","36","8.5353060903959861",NA,NA,"Perissodactyla","-31.15","15000","75.349999999999994","9.6158054800843473"
"11",11,"Lingwulong shenqi","-179","10.045188130793246","39","10.045188130793246",NA,NA,"Perissodactyla","-25.715","15000","80.784999999999997","9.6158054800843473"
"12",12,"Gonxianosaurus shibeiensis","-174","9.6586683670831768","44","9.6586683670831768",NA,NA,"Proboscidea","-19.5","5917","87","8.6855848426766933"
"13",13,"Amphicoelias altus","-165","10.383045514884181","53","10.383045514884181",NA,NA,"Proboscidea","-13.79","6568","92.710000000000008","8.789964651132264"
"14",14,"Zhuchengtitan zangjiazhuangensis","-156","10.345828117107882","62","10.345828117107882",NA,NA,"Proboscidea","-8.4700000000000006","17450","98.03","9.7670949276305734"
"15",15,"Argyrosaurus superbus","-154","11.047514941345579","64","11.047514941345579",NA,NA,"Proboscidea","-4.4649999999999999","17450","102.035","9.7670949276305734"
"16",16,"Alamosaurus sanjuanensis","-148","10.141210845729699","70","10.141210845729699",NA,NA,"Proboscidea","-2.7029999999999998","17450","103.797","9.7670949276305734"
"17",17,"Daxiatitan binglingi","-145","10.759162408733793","73","10.759162408733793",NA,NA,"Proboscidea","-0.90349999999999997","15000","105.59649999999999","9.6158054800843473"
"18",18,"MPEF PV 3098","-125","10.343188445071469","93","10.343188445071469",NA,NA,"Proboscidea","-1.2999999999999999E-2","10000","106.48699999999999","9.2103403719761836"
"19",19,"Futalognkosaurus dukei","-112","10.781725560064622","106","10.781725560064622",NA,NA,NA,NA,NA,NA,NA
"20",20,"Xinjiangtitan shanshanesis","-101","10.792964871326951","117","10.792964871326951",NA,NA,NA,NA,NA,NA,NA
"21",21,"Antarctosaurus sp.","-96","11.24137856644283","122","11.24137856644283",NA,NA,NA,NA,NA,NA,NA
"22",22,"Turiasaurus riodevensis","-93","10.377818428597912","125","10.377818428597912",NA,NA,NA,NA,NA,NA,NA
"23",23,"Yunmenglong ruyangensis","-85","10.612889540105925","133","10.612889540105925",NA,NA,NA,NA,NA,NA,NA
"24",24,"Patagotitan mayorum","-81","10.230029020020815","137","10.230029020020815",NA,NA,NA,NA,NA,NA,NA
"25",25,"Dreadnoughtus schrani","-75","10.794070251548053","143","10.794070251548053",NA,NA,NA,NA,NA,NA,NA
"26",26,"Brachiosaurus altithorax","-71","10.266534445898962","147","10.266534445898962",NA,NA,NA,NA,NA,NA,NA
"27",27,"Argentinosaurus huinculensis","-68","10.301286518387595","150","10.301286518387595",NA,NA,NA,NA,NA,NA,NA
