"Data Provider,""The Paleobiology Database""";
"Data Source,""The Paleobiology Database""";
"Data License,""Creative Commons CC-BY""";
"License URL,""http://creativecommons.org/licenses/by/4.0/""";
"Documentation URL,""http://paleobiodb.org/data1.2/specs/list_doc.html""";
"Data URL,""http://paleobiodb.org/data1.2/specs/list.csv?datainfo&rowcount&base_name=Sauropoda&limit=1000""";
"Access Time,""Thu 2024-10-03 14:08:02 GMT""";
"Title,""PBDB Data Service""";
Parameters:;
",""base_name"",""Sauropoda""";
",""timerule"",""major""";
",""taxon_status"",""all""";
",""limit"",""1000""";
"Elapsed Time,""0.042""";
"Records Found,""500""";
"Records Returned,""500""";
Records:;
"specimen_no,""record_type"",""flags"",""occurrence_no"",""reid_no"",""collection_no"",""specimen_id"",""is_type"",""specelt_no"",""specimen_side"",""specimen_part"",""specimen_sex"",""n_measured"",""measurement_source"",""magnification"",""comments"",""identified_name"",""identified_rank"",""identified_no"",""difference"",""accepted_name"",""accepted_rank"",""accepted_no"",""max_ma"",""min_ma"",""reference_no""";
"13134,""spm"","""",""489976"",""19690"",""49415"",""MUCPv 323"",""holotype"","""",""right"",""pubis"","""",""1"",""text"","""","""",""Futalognkosaurus dukei"",""species"",""109005"","""",""Futalognkosaurus dukei"",""species"",""109005"",""93.9"",""86.3"",""25429""";
"18675,""spm"","""",""475161"",""30612"",""47147"",""HMN SII"",""holotype"","""","""",""femur"","""",""1"",""table"","""",""specimen number not given, inferred from data of Paul 1988\r\n2090 mm according to Paul 1988\r\ncircumference based on Paul 1988"",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""152.2"",""145"",""34472""";
"18676,""spm"","""",""475161"",""30612"",""47147"",""HMN SII"",""holotype"","""","""",""tibia"","""",""1"",""table"","""",""specimen number not given, inferred from data of Paul 1988\r\n1150 mm according to Paul 1988"",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""152.2"",""145"",""34472""";
"18677,""spm"","""",""475161"",""30612"",""47147"",""HMN SII"",""holotype"","""","""",""humerus"","""",""1"",""table"","""",""specimen number not given, inferred from data of Paul 1988\r\n2130 mm according to Paul 1988"",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""152.2"",""145"",""34472""";
"18678,""spm"","""",""475161"",""30612"",""47147"",""HMN SII"",""holotype"","""","""",""radius"","""",""1"",""table"","""",""specimen number not given, inferred from data of Paul 1988\r\n1240 mm according to Paul 1988"",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""152.2"",""145"",""34472""";
"18679,""spm"","""",""475161"",""30612"",""47147"",""HMN SII"",""holotype"","""","""",""ulna"","""",""1"",""table"","""",""specimen number not given, inferred from data of Paul 1988\r\nnot measured by Paul 1988"",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""152.2"",""145"",""34472""";
"18680,""spm"","""",""475161"",""30612"",""47147"",""HMN SII"",""holotype"","""","""",""pubis"","""",""1"",""table"","""",""specimen number not given, inferred from data of Paul 1988\r\n1150 mm according to Paul 1988"",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""152.2"",""145"",""34472""";
"18681,""spm"","""",""475161"",""30612"",""47147"",""HMN SII"",""holotype"","""","""",""scapula"","""",""1"",""table"","""",""specimen number not given, inferred from data of Paul 1988\r\n1929 mm according to Paul 1988"",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""152.2"",""145"",""34472""";
"18682,""spm"","""",""508088"",""0"",""51572"","""",""holotype"","""","""",""femur"","""",""1"",""table"","""",""additional """"measurements"""" are given for tibia, humerus, radius, ulna, pubis, and scapula, but these are """"increased from"""" other specimens that may include A. wichmannianus and definitely include A. septentrionalis\r\nfigure of 2310 mm repeated by Paul 1988, who also gives circumference and lists the specimen as MP A2300"",""Antarctosaurus giganteus"",""species"",""66265"",""nomen dubium"",""Antarctosaurus"",""genus"",""38685"",""89.8"",""83.6"",""34472""";
"18683,""spm"",""N"","""",""0"","""","""","""","""","""",""femur"","""",""1"",""table"","""","""",""Apatosaurus alenquerensis"",""species"",""65347"",""recombined as"",""Lourinhasaurus alenquerensis"",""species"",""65347"","""","""",""34472""";
"18684,""spm"",""N"","""",""0"","""","""","""","""","""",""tibia"","""",""1"",""table"","""","""",""Apatosaurus alenquerensis"",""species"",""65347"",""recombined as"",""Lourinhasaurus alenquerensis"",""species"",""65347"","""","""",""34472""";
