,body_mass
Abydosaurusmcintoshi,9.633534583
Aegyptosaurusbaharijensis,9.520497736
Arrudatitanmaximus,9.416715589
Aeolosaurusrionegrinus,9.385236859
Alamosaurussanjuanensis,10.30128652
AmanziaCetiosauriscusgreppini,8.480582998
Amargasauruscazaui,9.178196316
Amargatitanismacni,9.288377949
Ampelosaurusatacis,8.945670818
Amphicoeliasaltus,10.14121085
Analongchuanjieensis,9.237252611
Andesaurusdelgadoi,9.79442756
Angolatitanadamastor,9.368112272
Anhuilongdiboensis,9.134400859
Antarctosaurusbrasiliensis,10.19500392
Antarctosaurusgiganteus,10.35654374
Antarctosaurussp.,10.61288954
Antarctosauruswichmannianus,10.36982919
Antetonitrusingenipes,8.56464853
Apatosaurusajax,10.12711327
Apatosaurusexcelsus,10.16837869
Apatosauruslouisae,10.45211164
Apatosaurusparvus,9.976126325
Aragosaurusischiaticus,9.79215297
Argentinosaurushuinculensis,11.241
Argyrosaurussuperbus,10.26653445
Atacamatitanchilensis,8.437567532
Atlasaurusimelakei,10.01575557
Australotitancooperensis,10.78949629
Bagualiaalba,6.907755279
Barapasaurustagorei,8.53530609
Barosauruslentus,11.002
Bellusaurussui,6.932042298
Borealosauruswimani,8.629905463
Brachiosaurusaltithorax,11.04751494
Brachytrachelopanmesai,9.435900945
Bravasaurusarreirosorum,7.879452208
BrontosaurusEobrontosaurusyahnahpin,9.79442756
Camarasaurusgrandis,9.677642653
Camarasauruslentus,10.068
Camarasauruslewisi,9.469181948
Camarasaurussupremus,10.18468765
Cathartesauraanaerobica,9.387665131
Cedarosaurusweiskopfae,9.441505145
Cetiosauriscusstewarti,10.02595939
Cetiosaurusoxoniensis,10.04251938
Chuanjiesaurusanaensis,9.579900415
Chubutisaurusinsignis,10.06697724
Comahuesauruswindhauseni,9.488888189
DahklaFormationindet,7.783856876
Dashanpusaurusdongi,9.209598963
Daxiatitanbinglingi,10.34318845
Demandasaurusdarwini,7.967788743
Diamantinasaurusmatildae,9.967704195
Dicraeosaurushansemanni,8.771039385
Dicraeosaurussattleri,9.12596571
Diplodocuscarnegiei,9.579900415
Diplodocushallorum,10.14844931
Dongbeititandongi,9.520497736
Dreadnoughtusschrani,10.79407025
Duriatitanhumerocristatus,9.889578157
