"m","estimate_cm","lower95_cm","median_cm","upper95_cm"
14,325.108632496487,325.104748756085,326.791330755251,330.261539119971
15,327.28948244478,325.065567007818,327.851140634093,332.150937368182
16,329.297092621693,325.633830949636,329.455825884419,334.015165894758
17,331.154591289385,326.480340928417,331.183939483246,335.940261287067
18,332.88089947528,327.960686600768,332.904871480172,337.764383373072
19,334.491679055716,329.484346104177,334.514177427572,339.468647618328
20,336.000030079305,331.035518099167,335.997257214359,340.989634730612
21,337.417012540213,332.368114241166,337.404184472801,342.476971809093
22,338.752042830637,333.603638947273,338.731619115349,343.935855720065
23,340.013199153029,334.856499783458,339.991383449907,345.254771402044
25,342.340890822643,336.973272330918,342.379104101595,347.812350092425
26,343.41879635945,337.968577127378,343.44574461363,348.947543636386
27,344.445838636463,338.955301953033,344.458216655193,350.024553028219
28,345.42613606454,339.8739051882,345.451468127229,351.048839537685
30,347.260716879181,341.510621185553,347.251250904454,353.02935899856
31,348.121170671102,342.303598448947,348.086009013105,353.919198082688
32,348.947320930825,343.117284763675,348.889836817868,354.781805473054
34,350.505914145451,344.62737490888,350.428988827225,356.439298942249
36,351.952800495954,346.017384564958,351.876816995998,358.008590407349
37,352.638656587843,346.625422802701,352.542900009075,358.77480662121
39,353.942530740609,347.784223395544,353.807590942476,360.239289135852
41,355.16436202858,348.873592077381,355.029969543995,361.551411563677
43,356.31288806072,349.905618561273,356.157220472461,362.798892393364
45,357.395567210546,350.926234583134,357.230648669427,363.917106355341
47,358.418812706757,351.912671133656,358.242493931481,364.999688800351
49,359.388176013565,352.812264222254,359.233557559526,366.012485025594
52,360.75160141454,354.082983568579,360.583758991142,367.367333122052
54,361.60612488285,354.854108628451,361.428910071739,368.204158463655
57,362.815045459991,355.972302121388,362.641465102059,369.461362142996
60,363.945463687958,357.058043662573,363.770612244275,370.655170376501
63,365.005980959221,358.105882822842,364.838857458297,371.731549592019
66,366.003905750499,359.063200573228,365.831132851629,372.739788790828
69,366.945496147744,359.929483252343,366.763062699964,373.706514191415
72,367.836148587931,360.791753055296,367.635717969715,374.600798156728
75,368.680546436618,361.537863508744,368.471297577389,375.442692023075
79,369.741451590648,362.552486578838,369.520933394434,376.503851896217
83,370.735681716099,363.532734896124,370.512527823826,377.501577542567
87,371.670309419551,364.408254776357,371.439228172796,378.423713965065
91,372.551377189375,365.234364206826,372.315746982128,379.295108461299
95,373.384084816944,366.02980590406,373.149774956104,380.131941067851
100,374.363768163035,366.925030069108,374.130290836309,381.088943420351
105,375.282435334598,367.804394988806,375.040826748301,381.961569800891
110,376.146497860488,368.666571594885,375.897221912297,382.827716543227
115,376.961442184597,369.473590190946,376.693924836887,383.657685571665
120,377.731996428744,370.190262672245,377.467748592375,384.463255071194
126,378.603802980711,370.953663214364,378.334886031305,385.322581592083
132,379.423674542615,371.748442618362,379.161765086301,386.146411880529
138,380.196837450768,372.48923504056,379.943438253013,386.925298019462
145,381.045799659848,373.242906907516,380.789413323593,387.768575298738
152,381.843427566772,373.994257829572,381.577045096717,388.550437619278
159,382.594959084133,374.675832248542,382.334875034482,389.255436895311
167,383.403156209488,375.400556274035,383.128959777994,390.057715797168
175,384.162773674198,376.12637369347,383.878188511307,390.787770784255
183,384.878738241515,376.723307821073,384.575187835546,391.525970820852
192,385.637276262649,377.458947822047,385.343728091983,392.323828154631
201,386.351105489297,378.155608966259,386.028855966602,393.023719179747
211,387.097201841302,378.862333949274,386.796657899463,393.757131844221
221,387.798808375918,379.56113289783,387.482099991635,394.449592740856
232,388.524511459593,380.235496008311,388.222092061092,395.218559343543
243,389.206882628221,380.844083227289,388.916288868045,395.865990627286
254,389.850284801753,381.418129902355,389.562655457917,396.480255640693
266,390.512137770538,381.974342029315,390.20490260455,397.175674745246
279,391.186715362669,382.563754215758,390.869393891265,397.86173145843
293,391.86893375932,383.217117769704,391.518728317942,398.552540616329
307,392.510021770911,383.672819212693,392.160367267487,399.182221679003
321,393.114156718396,384.164480902343,392.750652000033,399.751997896094
337,393.763936629261,384.731407275549,393.422458453568,400.397377090801
353,394.3747365755,385.25874371888,394.047284629343,400.971801836406
370,394.985396898354,385.730755815546,394.633070691814,401.643676990272
387,395.560544718366,386.255028616964,395.176095411261,402.292736187382
406,396.165597223666,386.822273462134,395.784823634274,402.882421498098
425,396.734803032115,387.326792326738,396.362471368899,403.379960696358
446,397.326512535967,387.839624003987,396.962321011229,404.082862379765
467,397.882931247727,388.260961500828,397.522513445958,404.655024952153
489,398.431849713028,388.713609073382,398.095403806637,405.262037052517
513,398.995029579563,389.130287162177,398.663096935353,405.791949827505
537,399.524794174645,389.530296224152,399.189652265093,406.340562617025
563,400.064858048997,390.051463848474,399.729902278406,406.966408059056
590,400.592223245752,390.519139106177,400.234446374624,407.536018107413
618,401.106779333986,390.975323980189,400.744421917575,408.013597619789
648,401.625284245892,391.446993387266,401.256353677044,408.52101349751
679,402.129063805576,391.864262169154,401.744194064862,409.189748912611
711,402.618449783759,392.284395143063,402.219784063622,409.701457263552
745,403.107775581719,392.729292945627,402.706676450706,410.163894971657
781,403.594975496176,393.079189620902,403.192845921264,410.696986279039
818,404.065960074318,393.441465246913,403.661369978093,411.238094163489
858,404.544696764083,393.803423211259,404.145652946381,411.74604964241
899,405.005947090634,394.252102195591,404.605213261774,412.25248256268
942,405.460954180237,394.57152814959,405.06004810897,412.870410574605
987,405.908827969053,394.951790915437,405.499836846946,413.390808919167
1034,406.348860378345,395.329982373815,405.898891822518,413.886554834289
1084,406.789042711872,395.682775752179,406.357708761913,414.383152339967
1135,407.2113802964,396.031703488742,406.786985865551,414.845668434992
1190,407.63977120423,396.393704371784,407.217411913297,415.403350043078
1247,408.057125013354,396.728572440599,407.641946254985,415.860330105353
1307,408.470189479222,397.042762778492,408.044154339258,416.321670035895
1369,408.871624918341,397.320773296468,408.427503680779,416.781074452973
1435,409.273499628137,397.698818918586,408.806744591547,417.418518501012
1503,409.66289226753,398.04173761731,409.188599733289,417.961426392179
1575,410.050701707156,398.338642224527,409.546919606212,418.457597648022
1651,410.435527231505,398.612453578702,409.920024152934,418.99647000557
1730,410.811582183117,398.879110910982,410.288840362101,419.462280828288
1812,411.178728436359,399.191694641511,410.638520539043,419.991187647727
1899,411.545075976681,399.615561698843,410.965786446605,420.456585036933
1990,411.905336722437,399.867313004382,411.290135236443,420.937772411754
2085,412.258983561088,400.113689188006,411.617313427249,421.426956425115
2185,412.609008483859,400.318702496247,411.938341148761,421.942376557348
2290,412.954509322116,400.491723117395,412.276064954371,422.424841987399
2400,413.294751187966,400.645950069183,412.588757122882,422.886932118325
2514,413.626326307694,400.821561384717,412.948367625131,423.310654909781
2635,413.957237288054,401.122601665713,413.290737465873,423.715316908023
2761,414.281169500863,401.401281152684,413.615514429948,424.144849391779
