"threshold_probability","threshold_cm","n_exc","mean_excess","mean_excess_se","xi","xi_lower95","xi_upper95","endpoint_cm","endpoint_finite_lower95_cm","endpoint_finite_upper95_cm","proportion_unbounded"
0.85,292.1,302,0.113237524975371,0.00454800135361337,-0.430917093497798,-0.541994654676182,-0.361791494489266,423.950849924907,406.952531071603,437.719511549664,0
0.855,294.64,285,0.11084784882958,0.00455761826801755,-0.432027549653579,-0.548718840325879,-0.362740632995922,423.891157986269,406.502105707118,434.70596948523,0
0.86,294.64,285,0.11084784882958,0.00455761826801755,-0.432027549653579,-0.536771407851455,-0.367018250193877,423.891157986269,405.865915500777,435.606512169385,0
0.865,297.18,270,0.108040614574578,0.00455968742629969,-0.430370277888733,-0.541964661749943,-0.347328628999471,424.047415819725,405.996538524909,439.462707166676,0
0.87,299.72,252,0.106672905978427,0.00456329156798883,-0.438175365148728,-0.55626769922719,-0.352620667647584,423.47605181479,406.011413566589,435.721046533986,0
0.875,299.72,252,0.106672905978427,0.00456329156798883,-0.438175365148728,-0.579809562367653,-0.355542469932947,423.47605181479,404.758059059638,436.421526484198,0
0.88,302.26,241,0.102752690758831,0.00456317331542635,-0.428338398247837,-0.560442267632842,-0.346738021868616,424.257243234796,406.06263049472,438.199497772849,0
0.885,304.8,231,0.0984884228298452,0.00457201990433195,-0.414805222717751,-0.559721236038914,-0.336186761299786,425.444973433327,407.209496496193,439.470456257038,0
0.89,307.34,218,0.095586894569568,0.00459250834655177,-0.410705869360684,-0.541554823628912,-0.329826173156337,425.867186969101,407.519742875743,441.425838364329,0
0.895,308.61,214,0.0931727694863729,0.0045979356581668,-0.400286592969064,-0.541759642128164,-0.316805047117873,426.919530235438,406.926931063121,444.14360329465,0
0.9,310.556686904735,205,0.0907948761530872,0.00461092746030166,-0.394963193589588,-0.536964513397111,-0.308682086755638,427.48829068554,406.558658944653,446.922556811833,0
0.905,312.42,191,0.0910508689873071,0.004636929595276,-0.412503491889942,-0.582888000364089,-0.32263697134382,425.779441128489,403.908259148462,441.023285403576,0
0.91,314.96,183,0.0865800482084448,0.00465857804139876,-0.392625573003554,-0.537715023862179,-0.286467244730494,427.783243690865,404.972702278256,449.937204923541,0
0.915,317.5,165,0.0871896088832644,0.00469900903913988,-0.420181850148571,-0.599261835263477,-0.333428986187098,425.25191656033,405.700238667494,439.704106724088,0
0.92,320.04,153,0.0854348854485253,0.00471169155090987,-0.425717588588976,-0.602014344696398,-0.323922780982883,424.859137964249,404.274437275313,441.402968989161,0
0.925,320.04,153,0.0854348854485253,0.00471169155090987,-0.425717588588976,-0.596974721163446,-0.316130381140304,424.859137964249,406.212773539704,440.144145022158,0
0.93,325.212965193363,143,0.0745754188925419,0.00474691187985917,-0.356215273473038,-0.544463207827837,-0.247608289279772,432.207246220362,406.123159829934,462.050386455702,0.002
0.935,327.66,132,0.0727279512194265,0.00482625917025771,-0.357838781875486,-0.559127584433786,-0.259091444815885,432.057121833139,406.212950326359,457.458739133282,0
0.94,330.2,120,0.0715386087157011,0.00492544195297154,-0.369503489469949,-0.571233061219774,-0.25198285748429,430.67258556138,407.16917254625,459.147099000261,0
0.945,332.74,107,0.0717435570629072,0.00501503659034684,-0.400456885954559,-0.615107057801607,-0.259069145516728,427.492903404391,404.39123049212,453.34247539714,0
0.95,335.28,99,0.0693219037526525,0.00507304038452841,-0.397318726842664,-0.641569098190269,-0.271874628677522,427.847649484434,401.271091248963,453.764059540188,0
0.955,339.542422074575,92,0.0613486295949879,0.0051424679680244,-0.323744245798888,-0.57391721809758,-0.151235056862931,437.110220691571,404.039895535013,486.009377600224,0.01
0.96,341.63,81,0.0631319749819013,0.00525519029423273,-0.383935851981707,-0.658602714692377,-0.240029358529868,429.310059408946,402.760643610977,455.731780838983,0.002
0.965,347.98,68,0.0539647312178005,0.00559145874051364,-0.291498558918648,-0.598816323768675,-0.102727230003389,443.174841619051,406.697921551333,565.237439685732,0.006
0.97,350.52,59,0.0538759975675181,0.00590748500248238,-0.334574070901694,-0.713543753361233,-0.151651176469076,435.947088740709,401.686173918524,500.053269894237,0
