"dataset","m","estimate_t","lower95_t","median_t","upper95_t"
"Late-Quaternary fauna",15,0.0503284884222669,0.05,0.0539134496126013,0.0636156329399877
"Late-Quaternary fauna",16,0.0571222894514575,0.0506565674060973,0.0580353873509096,0.0710328116373918
"Late-Quaternary fauna",17,0.0642031786055254,0.0526814469525003,0.0641990699470649,0.079372090148111
"Late-Quaternary fauna",18,0.0715510088195206,0.0577176032439475,0.0715715056041189,0.0883245355095858
"Late-Quaternary fauna",19,0.0791472132955199,0.0640950251520512,0.0791946228570847,0.0976602614886773
"Late-Quaternary fauna",20,0.0869746732905049,0.0704119989103203,0.0870502172960289,0.107624741134001
"Late-Quaternary fauna",21,0.0950175934063285,0.0770024738838227,0.0950851735450822,0.117684076165754
"Late-Quaternary fauna",22,0.103261385879257,0.0834522374831664,0.103381085978259,0.127942576265984
"Late-Quaternary fauna",23,0.111692564338505,0.0900298955199175,0.111853284833357,0.138967197639301
"Late-Quaternary fauna",24,0.120298646913436,0.0967831065488069,0.120406314603398,0.150581718633846
"Late-Quaternary fauna",25,0.129068068245019,0.103448459778904,0.129286367456784,0.16233229746732
"Late-Quaternary fauna",26,0.137990099793898,0.110441812577736,0.138252585878065,0.173806211453796
"Late-Quaternary fauna",27,0.147054777770739,0.117768479183554,0.147215214344835,0.185752048496832
"Late-Quaternary fauna",29,0.165575657089584,0.132216807750354,0.165824556731196,0.209212100752226
"Late-Quaternary fauna",30,0.175015199184268,0.139142210300232,0.175356719609412,0.22201627391411
"Late-Quaternary fauna",31,0.184563967898843,0.14656422332285,0.185055125607822,0.235252683924639
"Late-Quaternary fauna",32,0.19421496274091,0.153688546826325,0.194671435336139,0.248392283229821
"Late-Quaternary fauna",34,0.213797875219159,0.168362682586953,0.214269654587909,0.275203068420825
"Late-Quaternary fauna",35,0.223717934155602,0.17588795476386,0.224127181744108,0.288696537680337
"Late-Quaternary fauna",37,0.243788346992202,0.191263381008973,0.24408262691518,0.315548720966209
"Late-Quaternary fauna",39,0.264133699558068,0.206323338046296,0.264505148559713,0.343178060875092
"Late-Quaternary fauna",40,0.274398502928981,0.213799963566468,0.27469159197743,0.356859438264726
"Late-Quaternary fauna",42,0.295092630455768,0.229016834162157,0.295315669009034,0.384886732056511
"Late-Quaternary fauna",44,0.315982402630758,0.244895789898385,0.315945712666738,0.412945174471731
"Late-Quaternary fauna",46,0.337042102852064,0.260316701191488,0.337164917063863,0.441392181923529
"Late-Quaternary fauna",48,0.358248785911602,0.275744278109611,0.358633506999995,0.469965870907106
"Late-Quaternary fauna",50,0.37958192987267,0.291642417505041,0.379680903412763,0.498292667037892
"Late-Quaternary fauna",52,0.401023139112046,0.307583795120963,0.401101497454449,0.526689376246326
"Late-Quaternary fauna",54,0.422555889928638,0.323473396264683,0.422466336048075,0.555807491328722
"Late-Quaternary fauna",57,0.454994532192198,0.347253327402922,0.455137802335286,0.600682266158605
"Late-Quaternary fauna",59,0.476694235650165,0.363733991971786,0.476959243511263,0.629792459411289
"Late-Quaternary fauna",62,0.509325898911231,0.388312186563804,0.509635377879035,0.67248869426274
"Late-Quaternary fauna",65,0.542025946415414,0.412994700298193,0.541944452601385,0.716031364597582
"Late-Quaternary fauna",67,0.563849152393174,0.429020112859587,0.56354243181498,0.745828917669797
"Late-Quaternary fauna",70,0.59659926404573,0.452337391032254,0.59649410544509,0.789877015543639
"Late-Quaternary fauna",73,0.629347250988135,0.476183174590961,0.629055578017096,0.83457634039014
"Late-Quaternary fauna",77,0.672973297783678,0.508574994602919,0.67302754400616,0.893041375481125
"Late-Quaternary fauna",80,0.705642050272935,0.532863125884937,0.705526230168984,0.936014911896393
"Late-Quaternary fauna",83,0.738250803497287,0.556843441842683,0.738308556153981,0.980912977849578
"Late-Quaternary fauna",87,0.781613990251215,0.587983087341432,0.78151793651577,1.04184747453631
"Late-Quaternary fauna",91,0.824822192487984,0.619579493496261,0.825099415429607,1.10095445085942
"Late-Quaternary fauna",95,0.867853920854217,0.651581802676005,0.868669780323887,1.16075988781419
"Late-Quaternary fauna",99,0.910691311924811,0.683232480374284,0.911008400624492,1.2175644573957
"Late-Quaternary fauna",103,0.953319552039442,0.715279514712151,0.952822845787714,1.27404119022575
"Late-Quaternary fauna",108,1.00629230129128,0.753170956490599,1.00616739315729,1.34569162276253
"Late-Quaternary fauna",113,1.05890008649344,0.792511261689698,1.05892837515318,1.41585951391296
"Late-Quaternary fauna",118,1.11112806403701,0.830522473012942,1.11096235652931,1.48621070573517
"Late-Quaternary fauna",123,1.16296496165063,0.869344850377044,1.1628825396444,1.55789385626784
"Late-Quaternary fauna",128,1.21440244354088,0.907684089439711,1.21355979820302,1.62733049193281
"Late-Quaternary fauna",134,1.27559201037485,0.951803525882144,1.27516560740777,1.70961246581379
"Late-Quaternary fauna",140,1.33619152317507,0.995619852382994,1.33754636211497,1.79143079201762
"Late-Quaternary fauna",146,1.3961978139066,1.03996415818197,1.39593741536924,1.87241996200887
"Late-Quaternary fauna",152,1.45561036024878,1.08263436462522,1.45513945472314,1.95136862879102
"Late-Quaternary fauna",159,1.52417678718027,1.13208360810816,1.52266450895855,2.04296610331852
"Late-Quaternary fauna",166,1.59194265924328,1.18091138575211,1.58995671918472,2.13461917844591
"Late-Quaternary fauna",173,1.65891573183338,1.22710828664864,1.65518791847275,2.22751964850063
"Late-Quaternary fauna",181,1.73449795195722,1.2792170342126,1.72912775615366,2.32606625314904
"Late-Quaternary fauna",189,1.8090736425798,1.33250404519117,1.8037412272788,2.42291452004241
"Late-Quaternary fauna",197,1.88266087025853,1.38538462340403,1.87598981662823,2.51882824782549
"Late-Quaternary fauna",206,1.96428890236182,1.44569877995324,1.95615597437173,2.62616159170511
"Late-Quaternary fauna",215,2.04471860044349,1.50018522470079,2.03622017587461,2.73382972012145
"Late-Quaternary fauna",224,2.1239789615729,1.55604609145026,2.11623940114798,2.8415009866559
"Late-Quaternary fauna",234,2.21071010415215,1.62170188897277,2.20243461441313,2.95995885198245
"Late-Quaternary fauna",244,2.29607358171536,1.68552789839656,2.28635772627408,3.06930436547721
"Late-Quaternary fauna",255,2.38844075877397,1.75141899293908,2.37893986600284,3.19226949610544
"Late-Quaternary fauna",266,2.47925208449293,1.81384112864723,2.46818936260986,3.32001974495121
"Late-Quaternary fauna",278,2.57660321508893,1.88299907128656,2.56552479367588,3.44876261984063
"Late-Quaternary fauna",290,2.67222491446928,1.9462263980352,2.65941360418153,3.5761421562418
"Late-Quaternary fauna",303,2.77393340130927,2.02170749254984,2.76253012264775,3.71454361373194
"Late-Quaternary fauna",316,2.87375645706904,2.09013828908391,2.86268842247603,3.84700953373004
"Late-Quaternary fauna",330,2.97922996381239,2.15935218057021,2.97060263828362,3.99549822666102
"Late-Quaternary fauna",344,3.08268125833456,2.2295962519107,3.07498396521648,4.12946903232988
"Late-Quaternary fauna",359,3.19136741243161,2.30433936830469,3.18001370324869,4.27489499912106
"Late-Quaternary fauna",375,3.3049435474141,2.38478619395543,3.29466013377238,4.42176844765494
