"species","order","family","mass_t","mass_method","status"
"Elephas antiquus","Proboscidea","Elephantidae",13,"Reported","EP"
"Elephas namadicus","Proboscidea","Elephantidae",13,"Reported","EP"
"Mammuthus columbi","Proboscidea","Elephantidae",9.5,"Reported","EP"
"Mammut americanum","Proboscidea","Mammutidae",8,"Reported","EP"
"Elephas iolensis","Proboscidea","Elephantidae",6.5,"Reported","EP"
"Megatherium americanum","Pilosa","Megatheriidae",6.265,"Reported","EP"
"Cuvieronius hyodon","Proboscidea","Gomphotheriidae",6.213,"Reported","EP"
"Mammuthus primigenius","Proboscidea","Elephantidae",6,"Reported","EP"
"Notiomastodon platensis","Proboscidea","Gomphotheriidae",5.5,"Reported","EP"
"Loxodonta africana","Proboscidea","Elephantidae",4.4,"Reported","VU"
"Elasmotherium sibiricum","Perissodactyla","Rhinocerotidae",4.1,"Reported","EP"
"Eremotherium laurillardi","Pilosa","Megatheriidae",3.96148,"Reported","EP"
"Stephanorhinus kirchbergensis","Perissodactyla","Rhinocerotidae",3.6309323,"Reported","EP"
"Lestodon armatus","Pilosa","Mylodontidae",3.397,"Reported","EP"
"Elephas maximus","Proboscidea","Elephantidae",3.16,"Reported","EN"
"Megatherium tarijense","Pilosa","Megatheriidae",3.0499542,"Assumed isometric based on bone size","EP"
"Ceratotherium simum","Perissodactyla","Rhinocerotidae",2.9499863,"Reported","NT"
"Stephanorhinus hemitoechus","Perissodactyla","Rhinocerotidae",2.9431765,"Reported","EP"
"Diprotodon optatum","Diprotodontia","Diprotodontidae",2.7,"Reported","EP"
"Coelodonta antiquitatis","Perissodactyla","Rhinocerotidae",2.692552,"Reported","EP"
"Trigonodops lopesi","Notoungulata","Toxodontidae",2.2949267,"Estimated based on average of equations from lower premolar 4, molar 1, and molar 2 area","EP"
"Elephas naumanii","Proboscidea","Elephantidae",2.2284351,"Reported","EP"
"Glyptodon clavipes","Cingulata","CingulataFam",2,"Reported","EP"
"Stegodon orientalis","Proboscidea","Stegodontidae",1.9952623,"Reported","EP"
"Rhinoceros sondaicus","Perissodactyla","Rhinocerotidae",1.75,"Reported","CR"
"Scelidodon chiliensis","Pilosa","Mylodontidae",1.7466426,"Assumed isometric based on bone size","EP"
"Glossotherium robustum","Pilosa","Mylodontidae",1.713,"Reported","EP"
"Toxodon platensis","Notoungulata","Toxodontidae",1.642,"Reported","EP"
"Rhinoceros unicornis","Perissodactyla","Rhinocerotidae",1.602333,"Reported","VU"
"Doedicurus clavicaudatus","Cingulata","CingulataFam",1.468,"Reported","EP"
