"taxon_id","species","specimen_number","mass_t","publication_year","source"
"Argentinosaurushuinculensis","Argentinosaurus huinculensis","MLP-DP 46-VIII-21-3",76.2199536593957,1993,"Smith et al. 2001; Mazzetta et al., 2004; Bonaparte, 1996, Carballido et al. 2017"
"Brachiosaurusaltithorax","Brachiosaurus altithorax","FMNH P25107",62.787729381194,1903,"D'Emic & Carrano 2020"
"Barosauruslentus","Barosaurus lentus","BYU 9024",60,1890,"Molina-Perez & Larramendi 2020. Dinosaur Facts and Figures: The Sauropods and Other Sauropodomorphs. Princeton University Press, 272 pp.; Taylor, M. and Wedel, M. 2016. How big did Barosaurus get? Symposium on Vertebrate Palaeontology and Comparative Anatomy Abstracts."
"Chucarosaurus diripienda","Chucarosaurus diripienda","MPCA PV 820",59.1112646563173,2024,"Agnolin et al. 2024"
"Titanosauriaindet.","Titanosauria indet.","MOZ-Pv 1221",54.3792364182215,2021,"Otero et al. 2021"
"Notocolossusgonzalezparejasi","Notocolossus gonzalezparejasi","UNCUYO-LD 301",49.4356694711104,2016,"Gonzalez-Riga et al. 2016"
"Dreadnoughtusschrani","Dreadnoughtus schrani","MPM-PV 1156",48.7309802484319,2014,"Lacovara et al. 2014"
"Patagotitanmayorum","Patagotitan mayorum","MPEF-PV 3400/27",48.677143747094,2017,"Carballido et al., 2017"
"Australotitancooperensis","Australotitan cooperensis","EMF102",48.5085953595949,2021,"Hocknull et al. 2021"
"Yunmenglongruyangensis","Yunmenglong ruyangensis","1HIII-0006",48.1331091909705,2013,"Lu et al. 2013"
"Turiasaurusriodevensis","Turiasaurus riodevensis","CPT-1195 to -1210",47.0592351142679,2006,"Royo Torres et al. 2006"
"Giraffatitanbrancai","Giraffatitan brancai","MB.R.2688 (HMN XV2)",46.1606571407624,1914,"Paul, 1988"
"Ruyangosaurus_giganteus","Ruyangosaurus_giganteus","41HIII-0002",44.6865729881731,2017,"pers. obs."
"Paralititanstromeri","Paralititan stromeri","CGM 81119",41.7870322644184,2001,"Smith et al. 2001; McPhee et al. 2018"
"Antarctosaurussp.","Antarctosaurus sp.","FMNH P13109",40.6555054043099,1929,"pers obs.; Mazzetta et al. 2004"
"Sauroposeidonproteles","Sauroposeidon proteles ","OMNH 53062",39.7197961194116,2000,"pers. obs."
"Losillasaurusgiganteus","Losillasaurus giganteus","Lo-7",37.976219023628,2001,"McPhee et al. 2018"
"Apatosauruslouisae","Apatosaurus louisae","CM 3018",34.6173970300898,1915,"pers. obs.; Anderson et al. 1985"
"Xinjiangtitanshanshanesis","Xinjiangtitan shanshanesis","SSV1201",32.3072038864758,2013,"Wu et al. 2003"
