"threshold_t","n_exc","mean_excess","mean_excess_se","xi","xi_lower95_fixed","xi_upper95_fixed","xi_lower95_combined","xi_upper95_combined","endpoint_t","endpoint_finite_lower95_fixed_t","endpoint_finite_upper95_fixed_t","endpoint_finite_lower95_combined_t","endpoint_finite_upper95_combined_t","proportion_unbounded_fixed","proportion_unbounded_combined"
1,198,2.43535112070229,0.0642175272339722,-1.01036320264304,-1.26153780345291,-0.93391439174654,-1.19810437110628,-0.77117172205904,76.2199536593958,59.1112646563173,76.3743447338283,61.8423917394686,142.521438938284,0,0
2,190,1.83075119657088,0.0586931708545653,-0.847614874141678,-1.12129402331432,-0.775648896212934,-1.08148069828751,-0.660564564427748,76.6000699230528,58.3737589844555,77.4603408049745,61.4979211753301,140.112718772062,0,0
3,181,1.50309176981951,0.0555446315077707,-0.761761342568023,-1.12946168001801,-0.695097499645903,-1.08634368589802,-0.556218057858522,77.0176973696179,59.9307259042351,78.7491900854594,61.294371006257,145.893219621827,0,0
4,172,1.28908238957424,0.0526962091845351,-0.701408867672345,-0.915856369156997,-0.625717630754846,-0.96425799765214,-0.498435236459018,77.5119390944909,59.4284908188905,80.1720326747853,60.6008251394977,166.044088072571,0,0
5,164,1.12289544233176,0.0512479411773427,-0.649436748383232,-0.855902009125637,-0.569468521625815,-0.883907889160787,-0.465471744216059,78.1516617805947,59.5396342612097,81.6837870081417,62.7006967400047,158.330299573911,0,0
6,151,1.02950568393283,0.0493282981752584,-0.631203398980572,-0.868049098279434,-0.555052191657873,-0.858961727276357,-0.420388490369992,78.4569296182297,59.6701185616083,83.1159097476685,61.7840969269387,176.47891606045,0,0
7,143,0.92903572474207,0.0482685067799596,-0.597136854140551,-0.823709370964942,-0.512041981235583,-0.826661576233823,-0.394471491180433,79.1729306013117,59.9046419464507,84.6801772824813,63.1985643021512,173.734909049247,0,0
8,134,0.854683619167267,0.0472832535257326,-0.574703551511436,-0.805802841732413,-0.490489450116895,-0.848541537202557,-0.379698001287924,79.7783311468579,59.590657137382,87.9499738405831,62.7723150133893,185.604587656449,0,0
9,127,0.78022496690035,0.0469480604648909,-0.544528229731751,-0.777133906024839,-0.436134491481637,-0.837486802540592,-0.361054276806876,80.8587369394092,60.9597579170526,93.78031106655,64.438487427959,191.935578211456,0,0
10,115,0.750163064797153,0.0465103028730628,-0.551104434501297,-0.814089008554055,-0.443725472944445,-0.805033353833364,-0.333422066405302,80.609645543876,59.9223857469121,91.3545131140699,65.0892516046444,211.011320197832,0,0
11,107,0.706662147115526,0.0462178180496665,-0.540307836275745,-0.791790534401135,-0.425176583743831,-0.8039906159171,-0.307673080067124,81.0246995031838,60.7334846619327,92.5907781483394,60.8669071674035,226.627123624027,0,0
12,96,0.694427287076731,0.0456436675538634,-0.560286375783681,-0.851639595119908,-0.449874179610398,-0.832828690116873,-0.302876474234259,80.3193674857089,59.9058852026045,90.1892100601423,61.5942429810885,224.586935047691,0,0
13,89,0.665100612086326,0.0449982982803879,-0.558864541407758,-0.910025160527429,-0.445826240642816,-0.857985958013906,-0.265930911086641,80.3620445143104,59.9381377716399,90.7046138589702,62.5204487163118,254.080148153318,0,0
14,84,0.627729628979407,0.0445527518049049,-0.544806669098548,-0.900887947671318,-0.428991510469431,-0.895539975962633,-0.255162490740205,80.8476404178751,60,91.4051059396408,59.0233938196291,292.829630059624,0,0
15,78,0.604759377689207,0.043804758132255,-0.545563759894254,-0.898984044405157,-0.414611721868725,-0.897769645878974,-0.263995183855275,80.8167842778316,60.1537258257101,92.0231189144084,64.1551386369953,271.740260400253,0,0
16,73,0.57879578074121,0.0432437413234767,-0.540399826222468,-1.03100876347498,-0.396804350760084,-1.03038301700139,-0.233533058309086,81.0060694111746,59.6589986832373,98.0149792280562,62.2256853589289,283.915515221638,0,0
17,68,0.558747287254053,0.0424061856999431,-0.541081049694733,-1.07641892213767,-0.39548448351079,-0.874877529243376,-0.230536248519554,80.9841548229058,59.0785728387222,93.4882968632049,62.3563375530333,278.734545013735,0,0
18,65,0.524944867901166,0.0421457924545423,-0.519649007139359,-1.063011079149,-0.388985881409862,-1.04511695374135,-0.160800786051566,81.8072862027929,58.8134974113642,97.6535161381055,62.2864984694252,548.578402924083,0,0
19,62,0.495142668647338,0.0417685018086545,-0.500161844084851,-1.06696810958931,-0.336681565772763,-1.03111613302422,-0.151316166639883,82.6864413539597,59.9908751660865,104.45440715318,65.0014286804696,679.235841445537,0,0.002
20,60,0.459705122429813,0.0416124568848565,-0.466366607613571,-1.07670259895842,-0.313795354430814,-1.10199086945798,-0.148380078722122,84.5878980752077,60,109.565971419726,63.3153866992377,523.703563415171,0,0.002
21,58,0.426166041241851,0.0416130154525626,-0.428806618401782,-1.02324251280965,-0.241769927976075,-1.1882262964934,-0.10965924935655,87.4610496170361,60,140.943820673574,63.3664487336154,780.597682144088,0,0.01
22,55,0.401401040430525,0.0419281366208118,-0.403165081898607,-0.944341477199217,-0.172630393969342,-1.17832662524566,-0.129087649011422,90.0769104924431,58.9695876518982,226.590808837995,63.2902306864032,789.941069386412,0.002,0.006
23,50,0.394536385193507,0.0425878813305466,-0.419358122895972,-1.11934898673892,-0.196399518290455,-1.15219472769226,-0.135728097228009,88.4018540565609,60,195.291874153506,61.9597340083107,542.164393777701,0,0.004
24,47,0.37609424749189,0.0429469364035135,-0.404026640770043,-1.09574593364555,-0.121946885307181,-1.22343614175607,-0.110329473895532,89.9468681981163,60,304.222989565591,61.5375267292788,1509.74897861281,0.004,0.004
25,46,0.342857426644108,0.043200954433869,-0.332800184313871,-1.09267900533385,0.0229287968632871,-1.23080638463982,-0.0665266695732541,100.857531369736,60,10387.2944172254,64.0238000830057,1468.98276956373,0.034,0.016
26,42,0.335117876991198,0.0443325013151987,-0.343441136028801,-1.04580370196939,0.0462083042462548,-1.32067705947628,-0.0656327135466317,98.6810467058482,60.2127528562799,2315.72077931225,63.7355896855378,1031.36731689267,0.036,0.018
27,37,0.340444014342054,0.0459084366656937,-0.40238563157099,-1.19897701890348,0.00736667190238938,-1.31809562181868,-0.00518599975393462,90.3020692899964,59.5704445838867,555.938800583294,61.7522812655967,3414.30290699632,0.026,0.022
